,Question,Answer
0,,
1,Single Choice,Wasserkocher a)
2,,1
3,,0
4,,0
5,,0
6,,
7,Formelfrage,Wasserkocher b)
8,$v3,0.8
9,$v4,5.9
10,$r1,263.39285714
11,,
12,Formelfrage,Wasserkocher c)
13,$v1,1000
14,$v2,42
15,$r1,1.764
16,,
17,Formelfrage,Wasserkocher d)
18,$v1,800
19,$v2,44
20,$r1,18.181818
21,,
22,Formelfrage,Wasserkocher e)
23,$v2,36
24,$v1,1000
25,$v4,462.4
26,$r1,-401.384083
27,,
28,Formelfrage,Wasserkocher f)
29,$v1,800
30,$v3,44
31,$v4,440.2
32,$r1,2999.000454
33,,
34,Formelfrage,Wasserkocher g)
35,$v3,46
36,$v1,1500
37,$v4,494
38,$r1,4.2834
39,,
40,Formelfrage,Wasserkocher h)
41,$v1,51.9
42,$v2,1.93
43,$r1,97.38
44,,
45,Single Choice,Wasserkocher i)
46,bleibt gleich,0
47,wird größer,0
48,verringert sich,1
49,,
50,Single Choice,Wasserkocher j)
51,verringert sich,1
52,wird größer,0
53,bleibt gleich,0
54,,
