,$v1,$v2,$r1
0,1000,34,1.156
1,1200,36,1.08
2,1700,32,0.6
3,1800,44,1.075
4,1500,24,0.384
5,1500,32,0.683
6,1900,26,0.356
7,1800,36,233
8,700,32,1.463
9,1500,42,1.176
10,1500,54,1.944
11,600,40,2.6
12,1400,30,0.64
13,1900,52,1.42
14,1400,42,1.26
15,1600,60,2.24
16,600,32,0.05
17,600,30,1.5
18,1700,50,1.47
19,900,50,2.77
20,1400,44,123
21,1500,54,1.94
22,1200,40,1.33
23,1200,56,2.613
24,900,42,1.96
25,1500,26,0.45
26,1600,40,1
27,1000,56,42
28,1800,26,0.3755
29,700,58,4.8
30,800,24,0.72
31,600,34,1.92
32,1000,36,27.7
33,1700,26,0.3976
34,2000,50,1.25
35,1200,38,1.2
36,2000,54,1.458
37,1200,56,2.61
38,1500,26,0.4506
39,700,48,3.29
40,900,28,0.871
41,1400,26,0.4828
42,600,24,0.96
43,1200,48,1.92
44,1600,48,1.44
45,1500,58,2.25
46,1100,26,0.6145
47,1400,28,0.411
48,600,28,1.31
49,500,42,3.528
50,1300,60,60
51,1900,44,1.01895
52,1900,42,0.93
53,500,28,1.56
54,800,32,1.28
55,1100,24,0.523
56,1100,36,1.178
57,900,48,0.0533
58,1800,46,1.17
59,1100,34,1.05
60,1800,30,0.5
61,1900,56,1.65
62,2000,54,1.458
63,800,48,2.88
64,1300,46,1.63
65,500,38,2.888
66,1400,36,0.926
67,1200,54,2.43
68,1600,56,1.96
69,700,56,4.48
70,1400,28,0.56
71,1500,48,1.536
72,1400,54,2.08
73,1300,40,1.23
74,900,48,2.56
75,1700,44,1.1388
76,1200,38,1.2
77,1000,60,3.6
78,1900,34,0.6084
79,1200,52,2.25
80,800,42,2.205
81,1500,30,0.6
82,1900,30,0.473
83,2000,26,0.338
84,600,42,2.94000294
85,1100,58,3.06
86,1300,32,0.7876923
87,1900,42,0.9284
88,900,36,1.44
89,1500,60,2.4
90,800,58,4.205
91,1600,30,0.5625
92,1300,48,1.77
