,$v1,$v2,$r1
0,1600,56,28.571
1,1500,24,62.5
2,1000,46,21.74
3,800,60,13.3
4,800,24,33.33
5,800,26,30.77
6,1600,26,61.538
7,700,56,22
8,800,30,26.67
9,1800,30,60
10,1800,54,33.3
11,1500,48,31.25
12,1400,42,33.3
13,600,58,0.09
14,1000,26,38.4615
15,900,44,20.45
16,2000,58,34.48
17,1400,50,28
18,1800,56,32.14
19,1300,48,27.08
20,1000,44,123
21,1100,38,28.94
22,700,52,13.46
23,2000,60,33.3
24,1900,36,52.7778
25,1500,36,41.67
26,500,46,10.86956522
27,1500,30,42
28,1800,48,37.5
29,1300,34,38.23
30,1100,52,21.15
31,1400,40,35
32,1100,32,34.375
33,1900,46,41.3043
34,500,42,11.9
35,700,28,25
36,600,44,13.63
37,700,24,29.166
38,2000,60,33.33
39,1900,44,43.18
40,800,36,22.2
41,1500,32,46.875
42,1100,44,25
43,2000,60,33.333333
44,1800,38,47.37
45,1500,34,44
46,900,56,16.0714
47,1900,32,59.375
48,800,50,16
49,1900,60,31.66
50,900,52,17.3077
51,1300,56,23.2143
52,1900,60,31.6
53,800,26,30.76
54,1300,34,38.24
55,1800,52,34.61
56,700,30,23.333
57,1100,28,39.29
58,1600,48,33.33
59,900,40,22.5
60,500,56,8.928
61,1000,30,33.3
62,700,60,11.67
63,700,60,11.66666667
64,1200,30,40
65,1900,52,36.54
66,700,32,21.875
67,600,52,11.538
68,1100,38,28.9474
69,1600,50,32
70,1800,54,33.3
71,900,38,23.684
72,1700,58,29.31
73,1300,34,38.235
74,1500,46,32.60869
75,1600,24,66.66
76,600,32,18.75
77,600,42,14.28
78,1300,38,34.21
79,800,26,30.77
80,1200,52,23.07
81,1300,56,23.214
82,500,44,11.363
83,1400,36,38.8
84,1500,24,62.5
85,1500,52,28.8
86,2000,24,83.333333
87,1700,60,28.33
88,1200,54,22.2
89,1100,60,18.33
90,800,32,25
91,700,28,25
92,500,36,13.89
93,1000,46,21.739
94,900,58,15.52
95,1000,30,33.33
96,600,58,10.3
97,1700,46,36.95
98,700,38,18.42
99,1900,50,38
100,1800,36,50
101,1600,60,26.7
102,1100,60,18.3
103,1700,28,60.71
104,1900,42,45.238
105,1300,38,34.2105
106,500,46,10.7
