,$v3,$v1,$v4,$r1
0,28,1200,123.6,12.686
1,32,1300,265.4,1301.92916
2,24,1700,444.2,3.82
3,30,1500,499.2,-9999
4,58,800,121.9,-9999
5,44,1500,197.6,0.0013
6,32,2000,381.1,1488.672
7,48,1800,439.4,0.00524
8,32,800,225.6,2.2695
9,50,600,453.9,5.5
10,58,1700,281.3,0.48
11,24,1000,316.4,1.095
12,42,1500,563.6,15.5
13,46,1700,363.6,0.9932
14,58,800,458,14.689
15,32,1000,405.3,2.526
16,52,1700,482.6,-9999
17,44,800,303.6,0.2
18,42,1100,224.2,7867.86
19,56,2000,537.1,3123121231233099776
20,60,700,136.2,13.2
21,46,800,137.1,-9999
22,48,1400,222.5,-9999
23,36,1200,382.9,0.8509
24,60,500,198.3,0.028
25,30,1300,214.1,0.8040644444
26,44,1400,149.2,42
27,50,600,596.9,-9999
28,32,1300,511.4,-9999
29,60,600,217.2,1.657e-05
30,26,1600,449.5,-9999
31,38,900,315.1,-9999
32,42,1900,203.6,-9999
33,42,1200,541.5,0.88
34,28,500,344.6,0.22
35,40,900,119.8,-9999
36,42,1800,242.4,7.277
37,48,1100,352.8,6.53
38,58,1400,375.1,3.54
39,48,1900,109.8,8.85918
40,32,1600,592.6,1.4815
41,58,1300,575.9,1.6206459
42,52,1900,583,1.55668
43,44,900,124.4,0.104
44,52,1000,196.1,0.14
45,54,1700,344.8,-9999
46,56,2000,562.6,-9999
47,44,600,472.9,-9999
48,58,1600,340.4,-9999
49,34,2000,499.8,29.4
50,42,1500,133,0.339245
51,46,1300,102,-9999
52,42,1600,596,0.73
53,38,1800,583.4,-9999
54,48,1900,373.3,1.594
55,40,1100,294.3,428.07
56,28,1600,100.3,-9999
57,46,1600,410.9,0.994
58,60,1900,289.8,0.5789
59,28,1100,549.7,0.596
60,50,1800,233.3,0.604
61,40,1800,504.1,2.0416
62,54,2000,366.5,1.978171896
63,42,1400,159.3,0.353
64,46,1800,224.5,0.64
65,58,600,187.7,0.00187
66,24,600,587.2,0.562
67,60,1600,545.9,0.05496
68,28,1900,359.6,1.09
69,36,1200,502.2,1.29
70,44,1600,267.6,0.354
71,34,1000,174.7,0.151
72,26,1500,391.2,-9999
73,40,1400,374,-9999
74,30,1300,269.9,3
75,52,700,432.6,0.157
76,36,1300,168.9,7.673
77,34,2000,435.6,-9999
78,36,1400,534.4,-9999
79,32,1300,474.7,0.221
80,58,700,348.7,709.647
81,48,1100,290.5,0.007931
82,52,1900,598.8,0.95
83,28,1900,518.4,0.03517712
84,24,1500,507,1.152
85,24,1300,468.6,-1.1657
86,38,1000,321.1,0.4447
87,56,1400,267.7,-9999
88,38,1700,396.1,-9999
89,44,1000,600,-9999
90,56,1300,437.4,0.4714
91,24,2000,260.9,-9999
92,48,1000,197.9,-9999
93,46,1000,153,0.07
94,42,1600,154.6,5.7
95,48,1500,254.2,1126.98
96,46,1600,492.6,0.595
97,54,900,317.9,4.586347
98,32,1600,297.1,3.4
99,24,1200,103.9,-9999
100,30,1900,589.9,2.37
101,26,1500,410.4,1.647
102,36,700,171.8,4.471
103,40,1000,284.5,0.355
104,52,1600,230.6,5.86296
105,42,1600,555,-9999
106,32,1800,192.8,0.61
107,44,1000,171.1,-9999
108,24,600,201,0.025
109,24,1500,584.6,-9999
110,34,1000,547.8,1.055
