,$v1,$v2,$r1
0,67.8,0.62,10.935
1,98.3,0.9,90
2,50.4,1.31,3.84
3,50.1,0.56,91.05
4,117,1.54,92.4
5,113.9,1.8,94
6,140.7,1.76,92.6
7,137.8,1.47,90.63
8,140.2,1.75,92.59
9,96.4,1.88,95.1
10,135.3,0.63,82.3
11,137.2,1.48,91.52
12,111.7,1.27,91.2
13,101.1,0.56,81.9464
14,87.3,1.03,91.52
15,135.7,1.3,89.5
16,110.4,1.74,15.76
17,129.7,1.53,8.5
18,93.2,1.04,91.8
19,51,0.56,-9999
20,53.5,1.2,4.46
21,108.3,1.49,93.24
22,116.4,0.6,-9999
23,95.4,1.21,93
24,79.9,1.92,96
25,142.3,1.95,7.297435897
26,66.5,1.08,42
27,81,1.74,95.34
28,82.4,1.35,93.89
29,136.4,1.77,92.3
30,116.8,0.99,88.2
31,58.8,1.82,-9999
32,72.9,1.16,93.7155
33,102.4,1.85,11
34,79,0.6,0.13
35,142.3,0.63,77.41
36,100.1,1.13,91.142
37,99.7,1.62,93.8
38,72,1.34,96
39,66.8,1.07,16.02
40,65.4,1.42,98
41,52.4,0.94,94.7199
42,93.8,0.66,85.787878
43,119.7,0.58,79.36
44,122.9,1.08,89.78
45,98.8,1.34,92.62
46,57.4,0.97,-9999
47,116.5,1.1,89.41
48,121.8,0.81,84.96
49,85.1,1.52,82.1387
50,111.6,1.4,92.617
51,128.9,0.6,21.48
52,139.6,1.06,86.83
53,119.9,2,0.06
54,113.1,1.92,5
55,140.7,1.43,10
56,66.3,0.94,-9999
57,80.4,1.72,95.32
58,59.3,1.44,95.9
59,103.6,1.55,0.93
60,144.8,1.59,90.89
61,103.3,0.55,0.84
62,51.7,1.11,95.54962555
63,91.5,1.62,94.65
64,138.3,1.5,90.78
65,57.6,1.75,96.8
66,138.3,1.02,0.135588
67,54.5,1,94.8317
68,50.7,1.04,95.1
69,73.4,1.12,93
70,89.6,0.99,91.7
71,85.5,0.65,88.37
72,103.3,1.27,91.866
73,83.7,1.52,94.4934
74,84,1.76,95.22
75,53.7,1.91,97.2
76,142.6,0.83,82
77,71.9,1.27,94.33
78,53,1.31,4.04
79,121.2,1.52,92.61
80,53.5,1.33,95
81,89,1.07,91.68
82,134.6,1.09,9
83,135.1,1.37,90.1386
84,114.3,1.45,92
85,68.8,1.28,1.86
86,85.7,1.3,93.4077
87,116.7,1.26,90.7
88,141,0.53,79
89,134.2,1.11,89
90,82.9,1.81,4.58
91,138.9,1.36,89.78
92,61.2,0.58,89.45
93,117.4,0.54,78.26
94,104.9,0.53,80.2
95,73.9,0.62,99.1
96,71.7,1.05,93.17
97,50.4,1.09,2.16
98,146.1,1.43,90.73
99,138.7,0.95,85.4
100,92.6,1.93,95.2
101,57.5,1.98,97.1
102,81,1.62,5
103,96.4,2,95.4
104,110.6,0.93,0.88
105,71,0.6,89.42
106,147.5,1.29,88.57
107,123.4,1.41,8.75177
108,87.5,1.17,-9999
109,114.6,0.86,88.2
110,122.7,1.74,92.9
111,124.9,0.62,83.23
112,60.8,0.89,68.31
113,117.7,0.55,21.4
114,83.2,0.77,-9999
115,118.7,1.92,94.18
116,123.2,1.76,93.5
117,60.6,1.43,95.7622
118,100.1,1.61,93.78
119,149.2,1.93,92
120,61.3,0.51,88
121,123.3,1.51,8.16
122,76.4,1.31,94
123,72.9,0.69,89.4348
124,57.2,0.6,90.5
125,146.9,1.22,-9999
126,60.6,1.97,96.73
127,87.8,1.77,95.04
128,58.7,1.84,96.8
129,77.3,1.7,95.6
130,139.7,1.08,88
131,57.5,1.68,29.22
132,82.3,1.57,95
133,129.5,0.56,81.22
134,96.9,0.88,89
135,90.6,1.41,0.06
136,127.8,0.52,75.423
137,53.3,0.76,92.99
138,52.5,1.44,99.96
139,77.5,0.73,90.4
140,116.2,0.77,86.8878357
141,143.4,0.73,80.356
142,148.5,0.59,0.87
143,132,1.32,90.9
144,104.2,1.63,93.9914
145,91.3,1.22,93.04
146,110.9,1.53,92.7516
147,116.2,0.75,87
148,97.8,0.91,19.7473
149,86.1,0.83,89.6265
150,126.1,1.57,92.57
151,98.8,0.56,85
152,118.4,1.8,93.42
153,86.6,1.74,95
154,79,1.82,95.8
155,86,1.18,92.71
156,90.9,0.67,86
157,64.8,1.77,96.34
158,147.3,0.91,83.81
159,73.8,1.74,95.93
160,100.5,1.54,65.25
161,51.9,1.93,97.38
162,77.5,1.26,12.3
163,102.3,1.59,12331
164,66.4,1.85,96.4
165,109.8,1.39,92.7
166,100.3,0.5,80
167,111.6,0.98,-9999
168,74.1,1.23,94
169,134.9,1.53,91.18
170,108.7,0.92,11.8
171,106,0.67,84.18
172,97.7,0.61,75.74
173,112,1.09,90.682
174,51.4,1.45,96.58
175,99.7,1.77,94
176,67.2,1.05,93.98
177,101.1,1.67,0.94
178,71,0.84,92.21
179,70.9,0.75,90.5
180,101.7,1.14,91.81
181,87.6,1.39,93.7
182,121.2,1.69,92.83
183,95.7,1.71,0.95
184,136.7,1.45,90.57
185,61.5,0.74,12.03
186,72.6,0.76,90.447
187,97.5,1.57,16
188,75.1,1.42,94.7
189,141.6,1.29,90.11
190,99,1.77,94.7
191,85.2,0.9,0.9053
192,58.8,1.6,0.27
193,60,1.93,96.9
194,106.9,1.03,89.71
195,100.7,1.91,18.96
196,89.1,1.16,92.86
197,52.3,1.95,-9999
198,125.1,0.81,84.5
199,147.7,1.1,86.57
200,61.7,0.99,93.76
201,138.6,1.43,9.692307
202,50,0.59,540
203,145.7,1.23,11.8455
204,62.2,0.81,92.321
205,60.1,0.79,92.39
206,88.3,1.64,95
207,138.6,1.6,132
208,81.9,0.79,90.6
209,61.2,1.7,3.6
210,131.8,1.59,92
211,61.6,1.06,94.18867
212,106.8,1.56,14.61
213,72.1,1.35,5.34
